"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2016","76,720","75,620","77,675","75,499","771.63K","1.46%"
"Nov 02, 2016","75,616","77,100","77,498","75,566","735.75K","-2.43%"
"Nov 01, 2016","77,499","77,013","78,345","77,013","357.57K","0.31%"
"Oct 31, 2016","77,262","78,590","79,551","77,190","566.51K","-1.68%"
"Oct 28, 2016","78,582","78,550","79,228","78,100","637.01K","1.05%"
"Oct 27, 2016","77,769","78,255","78,956","77,769","682.59K","-0.40%"
"Oct 26, 2016","78,082","79,399","79,399","77,776","716.07K","-1.66%"
"Oct 25, 2016","79,399","79,355","80,153","79,094","689.29K","0.06%"
"Oct 24, 2016","79,351","80,555","80,555","76,399","2.30M","-0.87%"
"Oct 21, 2016","80,044","83,950","85,723","79,869","1.77M","-2.15%"
"Oct 20, 2016","81,800","81,800","82,051","81,062","499.20K","0.37%"
"Oct 19, 2016","81,501","82,106","82,199","81,100","1.38M","-1.26%"
"Oct 18, 2016","82,540","83,200","83,301","82,359","598.33K","-0.79%"
"Oct 17, 2016","83,200","84,405","84,865","83,051","532.53K","-1.38%"
"Oct 14, 2016","84,368","84,726","85,272","84,099","544.23K","-0.33%"
"Oct 13, 2016","84,645","84,136","85,365","84,071","690.78K","0.60%"
"Oct 12, 2016","84,136","85,500","86,188","83,344","871.14K","-1.76%"
"Oct 11, 2016","85,640","82,501","85,973","82,501","689.09K","3.19%"
"Oct 10, 2016","82,996","83,899","83,899","82,503","937.05K","-1.19%"
"Oct 07, 2016","83,999","85,221","85,221","83,021","902.24K","-1.43%"
"Oct 06, 2016","85,221","85,600","85,631","84,911","820.55K","-0.31%"
"Oct 05, 2016","85,490","88,261","88,279","85,490","1.10M","-3.14%"
"Oct 04, 2016","88,261","86,998","88,892","86,998","552.11K","1.45%"
"Oct 03, 2016","86,998","88,000","88,000","86,857","440.93K","-0.87%"
"Sep 30, 2016","87,759","88,609","89,557","87,759","597.69K","-1.63%"
"Sep 29, 2016","89,216","87,499","89,462","87,499","1.07M","1.96%"
"Sep 28, 2016","87,499","86,000","87,706","85,707","493.95K","1.86%"
"Sep 27, 2016","85,903","86,295","86,956","85,903","594.43K","-0.45%"
"Sep 26, 2016","86,295","87,091","87,091","86,066","322.72K","-1.32%"
"Sep 23, 2016","87,451","86,424","87,613","85,710","641.44K","0.84%"
"Sep 22, 2016","86,726","85,000","86,726","84,172","727.36K","1.58%"
"Sep 21, 2016","85,380","88,001","88,001","85,085","501.94K","-0.98%"
"Sep 20, 2016","86,227","86,500","87,230","86,227","266.50K","-0.77%"
"Sep 19, 2016","86,900","87,889","87,889","86,678","322.96K","-0.97%"
"Sep 16, 2016","87,747","88,342","88,710","87,632","1.22M","-0.44%"
"Sep 15, 2016","88,135","89,178","89,337","87,790","2.16M","-0.69%"
"Sep 14, 2016","88,750","89,549","89,574","88,523","458.39K","-1.61%"
"Sep 13, 2016","90,198","89,619","90,458","89,280","544.92K","-0.02%"
"Sep 12, 2016","90,214","89,000","90,829","88,585","353.08K","0.80%"
"Sep 09, 2016","89,496","90,100","91,293","89,496","408.87K","0.11%"
"Sep 08, 2016","89,400","90,535","91,364","89,400","631.14K","-1.25%"
"Sep 07, 2016","90,531","90,100","90,700","89,466","548.89K","0.40%"
"Sep 06, 2016","90,166","92,000","92,000","89,896","655.19K","-2.04%"
"Sep 05, 2016","92,048","94,100","94,100","91,700","571.84K","-1.38%"
"Sep 02, 2016","93,338","91,560","93,663","91,560","504.48K","1.94%"
"Sep 01, 2016","91,560","91,365","91,966","90,759","729.28K","0.42%"
"Aug 31, 2016","91,173","90,279","91,203","89,598","726.04K","1.27%"
"Aug 30, 2016","90,028","90,400","90,686","89,817","646.72K","-0.29%"
"Aug 29, 2016","90,286","89,869","90,649","89,457","302.21K","0.99%"
"Aug 26, 2016","89,400","90,335","90,343","88,700","527.85K","-1.46%"
"Aug 25, 2016","90,720","90,000","91,345","88,887","1.10M","0.71%"
"Aug 24, 2016","90,077","89,500","90,429","89,102","1.28M","4.12%"
"Aug 23, 2016","86,510","87,150","87,701","86,478","537.24K","-0.68%"
"Aug 22, 2016","87,106","85,500","88,049","85,500","356.12K","2.03%"
"Aug 19, 2016","85,372","84,650","86,534","84,650","859.64K","0.84%"
"Aug 18, 2016","84,658","85,175","85,407","84,648","617.20K","-0.60%"
"Aug 17, 2016","85,168","85,900","86,477","85,168","887.56K","-0.66%"
